Protocol,Bytes,Time,Size
tcp,1389952,1.000009 ,64 
tcp,1387456,1.000354 ,64 
tcp,935232,1.000197 ,64 
tcp,306176,1.000141 ,64 
tcp,397824,1.000364 ,64 
tcp,952896,1.000544 ,64 
tcp,1130752,1.000449 ,64 
tcp,847872,1.001157 ,64 
tcp,1233152,1.000253 ,64 
tcp,1063040,1.000107 ,64 
tcp,2522624,1.000332 ,128 
tcp,2392832,1.000332 ,128 
tcp,2374400,1.000144 ,128 
tcp,2276352,1.000470 ,128 
tcp,2225920,1.000051 ,128 
tcp,2298112,1.000016 ,128 
tcp,2525824,1.000463 ,128 
tcp,2530176,1.000258 ,128 
tcp,2140800,1.000146 ,128 
tcp,1795200,1.000235 ,128 
tcp,2766720,1.000010 ,192 
tcp,2985792,1.000409 ,192 
tcp,3466176,1.000199 ,192 
tcp,3101376,1.000164 ,192 
tcp,1972224,1.000056 ,192 
tcp,1449408,1.000457 ,192 
tcp,1618560,1.000510 ,192 
tcp,1374144,1.000081 ,192 
tcp,1406016,1.000030 ,192 
tcp,1371456,1.000051 ,192 
tcp,1811200,1.000526 ,256 
tcp,1895936,1.000324 ,256 
tcp,3552000,1.000138 ,256 
tcp,3388928,1.000347 ,256 
tcp,3417088,1.000171 ,256 
tcp,2989824,1.007573 ,256 
tcp,3384576,1.000210 ,256 
tcp,2932736,1.000171 ,256 
tcp,2909184,1.000104 ,256 
tcp,1762304,1.000208 ,256 
tcp,2167680,1.000166 ,320 
tcp,2391360,1.000193 ,320 
