Protocol,Bytes,Time,Size
tcp,949632,1.000035 ,64 
tcp,913088,1.000475 ,64 
tcp,894528,1.000161 ,64 
tcp,787776,1.000293 ,64 
tcp,833664,1.000119 ,64 
tcp,749888,1.000087 ,64 
tcp,686848,1.000022 ,64 
tcp,900736,1.000274 ,64 
tcp,764544,1.000517 ,64 
tcp,810240,1.000200 ,64 
tcp,1673728,1.000486 ,128 
tcp,1472640,1.000078 ,128 
tcp,1660160,1.000375 ,128 
tcp,1659776,1.000374 ,128 
tcp,1808512,1.000041 ,128 
tcp,1624960,1.000463 ,128 
tcp,1520896,1.000028 ,128 
tcp,1538048,1.000545 ,128 
tcp,1842560,1.000271 ,128 
tcp,1608448,1.000343 ,128 
tcp,2727168,1.000500 ,192 
tcp,2755392,1.000294 ,192 
tcp,2473536,1.000100 ,192 
tcp,2723328,1.000444 ,192 
tcp,2594496,1.000331 ,192 
tcp,2046144,1.000469 ,192 
tcp,2825280,1.000327 ,192 
tcp,2765184,1.000050 ,192 
tcp,2555328,1.000516 ,192 
tcp,2760960,1.000093 ,192 
tcp,3638272,1.000297 ,256 
tcp,3739392,1.000019 ,256 
tcp,2951936,1.000523 ,256 
tcp,2958080,1.000517 ,256 
tcp,3514112,1.000244 ,256 
tcp,3483904,1.000173 ,256 
tcp,3627008,1.000084 ,256 
tcp,3528960,1.000404 ,256 
tcp,3506688,1.000266 ,256 
tcp,3078400,1.000063 ,256 
tcp,4391040,1.000166 ,320 
tcp,4248640,1.000058 ,320 
tcp,4206720,1.000239 ,320 
tcp,4620160,1.000548 ,320 
tcp,2287360,1.000575 ,320 
tcp,5045440,1.000566 ,320 
tcp,3637760,1.000109 ,320 
tcp,2170880,1.000274 ,320 
tcp,2032640,1.000596 ,320 
tcp,3772480,1.000535 ,320 
tcp,5746944,1.000013 ,384 
tcp,5664768,1.000126 ,384 
tcp,3811968,1.000282 ,384 
tcp,5213184,1.000334 ,384 
tcp,5435520,1.000053 ,384 
tcp,3792768,1.000608 ,384 
tcp,5574144,1.000455 ,384 
tcp,5639808,1.000064 ,384 
tcp,5454336,1.000010 ,384 
tcp,5808384,1.000018 ,384 
tcp,5898368,1.001266 ,448 
tcp,6339200,1.000007 ,448 
tcp,5875072,1.000205 ,448 
tcp,6101760,1.000365 ,448 
tcp,5505024,1.002504 ,448 
tcp,6233024,1.000460 ,448 
tcp,6282304,1.000423 ,448 
tcp,6328000,1.000325 ,448 
tcp,5374208,1.001759 ,448 
tcp,6285440,1.000312 ,448 
tcp,6291456,1.005438 ,512 
tcp,6278656,1.000020 ,512 
tcp,6392320,1.000010 ,512 
