Protocol,Bytes,Time,Size
tcp,658432,1.000505 ,64 
tcp,921664,1.000068 ,64 
tcp,945024,1.000417 ,64 
tcp,930944,1.000228 ,64 
tcp,813376,1.000528 ,64 
tcp,849216,1.000467 ,64 
tcp,905920,1.000132 ,64 
tcp,906688,1.000277 ,64 
tcp,532928,1.000039 ,64 
tcp,967552,1.000141 ,64 
tcp,1445760,1.000241 ,128 
tcp,1338880,1.000088 ,128 
tcp,1590528,1.000305 ,128 
tcp,1622528,1.000328 ,128 
tcp,1553920,1.000235 ,128 
tcp,1228416,1.000201 ,128 
tcp,1425536,1.000461 ,128 
tcp,1144448,1.000080 ,128 
tcp,1512832,1.000424 ,128 
tcp,1034624,1.000341 ,128 
tcp,1700160,1.000447 ,192 
tcp,2097216,1.031644 ,192 
tcp,1946688,1.000118 ,192 
tcp,2074944,1.000054 ,192 
tcp,2097216,1.044783 ,192 
tcp,1568640,1.000472 ,192 
tcp,1586880,1.000367 ,192 
tcp,1558848,1.000344 ,192 
tcp,1742976,1.000248 ,192 
tcp,2077440,1.000467 ,192 
tcp,1900032,1.000317 ,256 
tcp,2146560,1.000469 ,256 
tcp,1755648,1.000293 ,256 
tcp,1795328,1.000078 ,256 
tcp,2097152,1.006913 ,256 
tcp,2242560,1.000072 ,256 
tcp,1789952,1.000139 ,256 
tcp,2097152,1.008730 ,256 
tcp,2016768,1.000077 ,256 
tcp,2255616,1.000370 ,256 
tcp,2097280,1.044485 ,320 
tcp,2264640,1.000573 ,320 
tcp,1863680,1.000129 ,320 
tcp,2321920,1.000022 ,320 
tcp,2248960,1.000072 ,320 
tcp,2696000,1.000389 ,320 
tcp,2097280,1.052316 ,320 
tcp,2692160,1.000088 ,320 
tcp,2399360,1.000266 ,320 
tcp,2581120,1.000151 ,320 
tcp,2402304,1.000253 ,384 
tcp,2097408,1.016555 ,384 
tcp,2564736,1.000316 ,384 
tcp,2163840,1.000072 ,384 
tcp,2553600,1.000405 ,384 
tcp,2192640,1.000603 ,384 
tcp,2596608,1.000114 ,384 
tcp,2899200,1.000007 ,384 
tcp,2794752,1.000209 ,384 
tcp,3156480,1.000193 ,384 
tcp,3000256,1.000288 ,448 
tcp,2917824,1.000096 ,448 
tcp,3814272,1.000140 ,448 
tcp,3480960,1.000482 ,448 
tcp,2980544,1.000426 ,448 
tcp,2627968,1.000201 ,448 
tcp,3187072,1.000318 ,448 
tcp,2574656,1.000472 ,448 
tcp,2353792,1.000373 ,448 
tcp,3103296,1.000323 ,448 
tcp,3183104,1.000151 ,512 
tcp,3287040,1.000499 ,512 
tcp,3146240,1.000186 ,512 
tcp,2980352,1.000113 ,512 
tcp,3270144,1.000364 ,512 
tcp,4194304,1.076576 ,512 
tcp,3342336,1.000114 ,512 
