Protocol,Bytes,Time,Size
tcp,488768,1.000457 ,64 
tcp,862848,1.000080 ,64 
tcp,919808,1.000044 ,64 
tcp,800832,1.000451 ,64 
tcp,900800,1.000062 ,64 
tcp,667008,1.000414 ,64 
tcp,828288,1.000220 ,64 
tcp,879680,1.000297 ,64 
tcp,629056,1.000106 ,64 
tcp,922368,1.000016 ,64 
tcp,1221120,1.000407 ,128 
tcp,1307776,1.000189 ,128 
tcp,1293824,1.000380 ,128 
tcp,1447552,1.000029 ,128 
tcp,1086848,1.000468 ,128 
tcp,1475840,1.000468 ,128 
tcp,1581184,1.000018 ,128 
tcp,1339520,1.000019 ,128 
tcp,1363072,1.000394 ,128 
tcp,1278592,1.000412 ,128 
tcp,1842432,1.000048 ,192 
tcp,1945536,1.000450 ,192 
tcp,1425408,1.000268 ,192 
tcp,1707264,1.000417 ,192 
tcp,1838400,1.000140 ,192 
tcp,1598592,1.000155 ,192 
tcp,1474944,1.000323 ,192 
tcp,1997184,1.000092 ,192 
tcp,1979904,1.000449 ,192 
tcp,1777536,1.000586 ,192 
tcp,2250240,1.000436 ,256 
tcp,2226176,1.000692 ,256 
tcp,1836800,1.000485 ,256 
tcp,2034944,1.000056 ,256 
tcp,2277632,1.000000 ,256 
tcp,1265664,1.000613 ,256 
tcp,2097152,1.001961 ,256 
tcp,2334208,1.000415 ,256 
tcp,2299392,1.000124 ,256 
tcp,2175744,1.000060 ,256 
tcp,2307840,1.000166 ,320 
tcp,2233920,1.000171 ,320 
tcp,2459520,1.000306 ,320 
tcp,2201600,1.000209 ,320 
tcp,2448640,1.000279 ,320 
tcp,2232960,1.000080 ,320 
tcp,2097280,1.009549 ,320 
tcp,2280960,1.000047 ,320 
tcp,2360320,1.000437 ,320 
tcp,2154560,1.000529 ,320 
tcp,3013632,1.000294 ,384 
tcp,3427584,1.000425 ,384 
tcp,3293184,1.000083 ,384 
tcp,3292416,1.000127 ,384 
tcp,3765888,1.000226 ,384 
tcp,2707584,1.000428 ,384 
tcp,2778624,1.000108 ,384 
tcp,2891520,1.000518 ,384 
tcp,3339648,1.000053 ,384 
tcp,3228672,1.000083 ,384 
tcp,2690688,1.000418 ,448 
