Protocol,Bytes,Time,Size
tcp,113984,1.073082 ,64 
tcp,93760,1.000271 ,64 
tcp,110784,1.000030 ,64 
tcp,101120,1.109292 ,64 
tcp,93888,1.025151 ,64 
tcp,104320,1.002420 ,64 
tcp,91968,1.038470 ,64 
tcp,102400,1.028322 ,64 
tcp,91072,1.055870 ,64 
tcp,103104,1.000061 ,64 
tcp,119552,1.008530 ,128 
tcp,114688,1.009164 ,128 
tcp,119680,1.044625 ,128 
tcp,142976,1.009877 ,128 
tcp,143488,1.018443 ,128 
tcp,112512,1.142877 ,128 
tcp,127616,1.007504 ,128 
tcp,134656,1.034277 ,128 
tcp,124160,1.035338 ,128 
tcp,123136,1.000128 ,128 
tcp,134592,1.008286 ,192 
tcp,128256,1.096010 ,192 
tcp,131904,1.012337 ,192 
tcp,147264,1.139489 ,192 
tcp,143232,1.004207 ,192 
tcp,130752,1.039274 ,192 
tcp,129408,1.028092 ,192 
tcp,143232,1.004878 ,192 
tcp,129792,1.011957 ,192 
tcp,119616,1.130104 ,192 
tcp,131072,1.154153 ,256 
tcp,154368,1.032740 ,256 
tcp,172288,1.007307 ,256 
tcp,206336,1.103678 ,256 
tcp,150016,1.000438 ,256 
tcp,155392,1.093476 ,256 
tcp,151296,1.000295 ,256 
tcp,137984,1.016161 ,256 
tcp,137216,1.007472 ,256 
tcp,132096,1.124085 ,256 
tcp,149440,1.017565 ,320 
tcp,135360,1.003884 ,320 
tcp,145280,1.000031 ,320 
tcp,154560,1.055994 ,320 
tcp,172480,1.002975 ,320 
tcp,146240,1.025949 ,320 
tcp,135360,1.004979 ,320 
tcp,124800,1.096957 ,320 
tcp,155840,1.087605 ,320 
tcp,118400,1.000696 ,320 
tcp,146304,1.061998 ,384 
tcp,150528,1.004111 ,384 
tcp,128256,1.139099 ,384 
tcp,144000,1.010031 ,384 
tcp,142464,1.003999 ,384 
tcp,142848,1.054896 ,384 
tcp,127872,1.033835 ,384 
tcp,156672,1.000276 ,384 
tcp,155904,1.039975 ,384 
tcp,150528,1.086229 ,384 
tcp,154112,1.045537 ,448 
tcp,144704,1.000236 ,448 
tcp,136192,1.012988 ,448 
tcp,148288,1.104352 ,448 
tcp,149632,1.002700 ,448 
tcp,186816,1.005139 ,448 
tcp,119616,1.002402 ,448 
tcp,117824,1.028583 ,448 
tcp,148736,1.000008 ,448 
tcp,122304,1.002134 ,448 
tcp,163840,1.025840 ,512 
tcp,144384,1.027358 ,512 
tcp,141824,1.025356 ,512 
tcp,113152,1.023883 ,512 
tcp,161280,1.008346 ,512 
tcp,179712,1.005851 ,512 
tcp,157184,1.000337 ,512 
tcp,158208,1.045290 ,512 
tcp,155648,1.000989 ,512 
tcp,140288,1.012549 ,512 
tcp,151488,1.016700 ,576 
tcp,139968,1.010767 ,576 
tcp,141120,1.000885 ,576 
tcp,182592,1.081157 ,576 
tcp,166464,1.011380 ,576 
tcp,129024,1.019047 ,576 
tcp,139392,1.140584 ,576 
tcp,87552,1.121261 ,576 
tcp,129600,1.019964 ,576 
tcp,144000,1.021759 ,576 
tcp,145280,1.040246 ,640 
tcp,169600,1.002901 ,640 
tcp,164480,1.105691 ,640 
tcp,144640,1.017547 ,640 
tcp,154240,1.022235 ,640 
tcp,153600,1.042857 ,640 
tcp,190720,1.003978 ,640 
tcp,217600,1.059629 ,640 
tcp,176640,1.027643 ,640 
tcp,128000,1.006348 ,640 
tcp,161216,1.036064 ,704 
tcp,146432,1.000643 ,704 
tcp,160512,1.015321 ,704 
tcp,144320,1.023194 ,704 
tcp,151360,1.017093 ,704 
tcp,157696,1.040548 ,704 
tcp,153472,1.007883 ,704 
tcp,140800,1.026917 ,704 
tcp,164736,1.008377 ,704 
