Protocol,Bytes,Time,Size
tcp,116736,1.000324 ,64 
tcp,42432,1.050882 ,64 
tcp,88320,1.002365 ,64 
tcp,87296,1.102158 ,64 
tcp,91776,1.000102 ,64 
tcp,86656,1.141116 ,64 
tcp,107072,1.101556 ,64 
tcp,96704,1.035606 ,64 
tcp,88256,1.032669 ,64 
tcp,93888,1.006784 ,64 
tcp,111232,1.007866 ,128 
tcp,98816,1.003228 ,128 
tcp,115968,1.094758 ,128 
tcp,119168,1.100114 ,128 
tcp,119296,1.037993 ,128 
tcp,101120,1.087595 ,128 
tcp,114688,1.001146 ,128 
tcp,110208,1.109342 ,128 
tcp,119296,1.015794 ,128 
tcp,123904,1.000646 ,128 
tcp,115392,1.034519 ,192 
tcp,128256,1.298662 ,192 
tcp,119808,1.039969 ,192 
tcp,103872,1.037145 ,192 
tcp,114624,1.032338 ,192 
tcp,124608,1.056736 ,192 
tcp,134400,1.031986 ,192 
tcp,124608,1.004738 ,192 
tcp,124608,1.025358 ,192 
tcp,124608,1.000755 ,192 
tcp,115200,1.021474 ,256 
tcp,113152,1.028904 ,256 
tcp,143360,1.057984 ,256 
tcp,84992,1.003891 ,256 
tcp,118016,1.157634 ,256 
tcp,134400,1.047073 ,256 
tcp,134656,1.016584 ,256 
tcp,115456,1.074085 ,256 
tcp,136960,1.089714 ,256 
tcp,134656,1.029607 ,256 
tcp,127360,1.005726 ,320 
tcp,120960,1.104898 ,320 
tcp,140480,1.046010 ,320 
tcp,135040,1.095862 ,320 
tcp,143040,1.021673 ,320 
tcp,133760,1.094276 ,320 
tcp,132800,1.031926 ,320 
tcp,132480,1.120315 ,320 
tcp,124800,1.023580 ,320 
tcp,143040,1.099912 ,320 
tcp,153984,1.036376 ,384 
tcp,119040,1.047168 ,384 
tcp,135936,1.126134 ,384 
tcp,137472,1.006057 ,384 
tcp,125184,1.050369 ,384 
tcp,119040,1.000948 ,384 
tcp,144000,1.004412 ,384 
tcp,137472,1.039345 ,384 
tcp,135936,1.017705 ,384 
tcp,135936,1.039735 ,384 
tcp,134848,1.086876 ,448 
tcp,137536,1.003710 ,448 
tcp,132608,1.100029 ,448 
tcp,149632,1.135174 ,448 
tcp,145600,1.142497 ,448 
tcp,128128,1.005876 ,448 
tcp,141568,1.035694 ,448 
tcp,128576,1.001302 ,448 
tcp,121408,1.064134 ,448 
tcp,122752,1.004089 ,448 
tcp,138240,1.045365 ,512 
tcp,147968,1.015283 ,512 
tcp,139264,1.001138 ,512 
tcp,137216,1.002359 ,512 
tcp,125440,1.003494 ,512 
tcp,118784,1.010409 ,512 
tcp,130560,1.022531 ,512 
tcp,128000,1.000544 ,512 
tcp,130560,1.140869 ,512 
tcp,132608,1.029864 ,512 
tcp,152640,1.036792 ,576 
tcp,127872,1.001250 ,576 
tcp,134208,1.038871 ,576 
tcp,146304,1.002421 ,576 
tcp,137088,1.065826 ,576 
tcp,138240,1.024660 ,576 
tcp,133056,1.008970 ,576 
tcp,137088,1.103195 ,576 
tcp,152064,1.004892 ,576 
tcp,110016,1.127824 ,576 
tcp,142080,1.048941 ,640 
tcp,133760,1.141302 ,640 
tcp,150400,1.002907 ,640 
tcp,133760,1.058464 ,640 
tcp,136320,1.029035 ,640 
tcp,149120,1.093204 ,640 
tcp,137600,1.001001 ,640 
tcp,129920,1.028497 ,640 
tcp,143360,1.004555 ,640 
tcp,125440,1.022943 ,640 
tcp,161216,1.035042 ,704 
tcp,138688,1.028085 ,704 
tcp,137280,1.057281 ,704 
tcp,137280,1.022304 ,704 
tcp,117568,1.011294 ,704 
tcp,161920,1.040147 ,704 
tcp,147136,1.040313 ,704 
tcp,121088,1.066122 ,704 
tcp,130240,1.055450 ,704 
tcp,123200,1.032544 ,704 
tcp,137472,1.039105 ,768 
tcp,140544,1.027070 ,768 
tcp,122880,1.005979 ,768 
tcp,142848,1.091344 ,768 
tcp,135936,1.000482 ,768 
tcp,132864,1.084625 ,768 
tcp,142848,1.000524 ,768 
tcp,132096,1.004277 ,768 
tcp,119808,1.013654 ,768 
tcp,144384,1.094564 ,768 
tcp,148928,1.000864 ,832 
tcp,123136,1.028740 ,832 
tcp,154752,1.005901 ,832 
tcp,146432,1.002673 ,832 
tcp,142272,1.001022 ,832 
tcp,142272,1.023899 ,832 
tcp,128128,1.094792 ,832 
tcp,133952,1.019031 ,832 
tcp,138112,1.167749 ,832 
tcp,154752,1.136539 ,832 
tcp,169344,1.068493 ,896 
tcp,148736,1.018438 ,896 
tcp,140672,1.028617 ,896 
tcp,149632,1.097681 ,896 
tcp,152320,1.138957 ,896 
tcp,164864,1.085801 ,896 
tcp,138880,1.007865 ,896 
tcp,134400,1.007032 ,896 
tcp,157696,1.004080 ,896 
tcp,142464,1.084041 ,896 
tcp,133440,1.075529 ,960 
tcp,135360,1.004286 ,960 
tcp,136320,1.000420 ,960 
tcp,136320,1.006974 ,960 
tcp,149760,1.037949 ,960 
tcp,114240,1.151104 ,960 
tcp,131520,1.040385 ,960 
tcp,137280,1.003513 ,960 
tcp,149760,1.035137 ,960 
tcp,130560,1.033278 ,960 
tcp,159744,1.006909 ,1024 
tcp,130048,1.005980 ,1024 
tcp,148480,1.033315 ,1024 
tcp,146432,1.004806 ,1024 
tcp,136192,1.034711 ,1024 
tcp,158720,1.025212 ,1024 
tcp,139264,1.002152 ,1024 
tcp,138240,1.072607 ,1024 
tcp,141312,1.015850 ,1024 
tcp,149504,1.009136 ,1024 
quic,176384,1.013351 ,64 
quic,57984,1.017032 ,64 
quic,174144,1.022861 ,64 
quic,111168,1.009946 ,64 
quic,96704,1.009924 ,64 
quic,103232,1.022120 ,64 
quic,71680,1.003074 ,64 
quic,123520,1.008985 ,64 
quic,129024,1.007047 ,64 
quic,81664,1.007695 ,64 
quic,93440,1.011066 ,128 
quic,81920,1.008645 ,128 
quic,120704,1.011205 ,128 
quic,101760,1.039458 ,128 
quic,81024,1.012180 ,128 
quic,57472,1.016072 ,128 
quic,64512,1.011423 ,128 
quic,77696,1.033919 ,128 
quic,106624,1.013450 ,128 
quic,94720,1.016451 ,128 
quic,95424,1.028181 ,192 
quic,84672,1.015553 ,192 
quic,59136,1.062716 ,192 
quic,73728,1.063856 ,192 
quic,120192,1.013088 ,192 
quic,98112,1.023634 ,192 
quic,104832,1.040988 ,192 
quic,87360,1.009433 ,192 
quic,102720,1.024337 ,192 
quic,107712,1.013245 ,192 
quic,120064,1.016963 ,256 
quic,66560,1.010274 ,256 
quic,64256,1.005943 ,256 
quic,119040,1.013165 ,256 
quic,103936,1.024504 ,256 
quic,135680,1.010543 ,256 
quic,105216,1.024612 ,256 
quic,82176,1.004499 ,256 
quic,89600,1.021917 ,256 
quic,96000,1.003957 ,256 
quic,64640,1.012323 ,320 
quic,98560,1.011477 ,320 
quic,84480,1.013950 ,320 
quic,58560,1.122105 ,320 
quic,134400,1.015545 ,320 
quic,84480,1.008724 ,320 
quic,95680,1.016124 ,320 
quic,93120,1.009989 ,320 
quic,94080,1.008083 ,320 
quic,117120,1.009806 ,320 
quic,82944,1.088745 ,384 
quic,126336,1.011035 ,384 
quic,141696,1.011326 ,384 
quic,81408,1.053777 ,384 
quic,97920,1.016145 ,384 
quic,98688,1.011786 ,384 
quic,74112,1.010666 ,384 
quic,95616,1.018088 ,384 
quic,102912,1.010940 ,384 
quic,147456,1.009230 ,384 
quic,131264,1.017581 ,448 
quic,103936,1.012975 ,448 
quic,87360,1.010154 ,448 
quic,70784,1.008894 ,448 
quic,98560,1.014257 ,448 
quic,98112,1.007642 ,448 
quic,112000,1.024750 ,448 
quic,118272,1.009609 ,448 
quic,104832,1.086651 ,448 
quic,86464,1.019016 ,448 
quic,114688,1.022283 ,512 
quic,87040,1.015460 ,512 
quic,79360,1.013152 ,512 
quic,74240,1.014029 ,512 
quic,103936,1.009468 ,512 
quic,109568,1.007834 ,512 
quic,75776,1.034324 ,512 
quic,83968,1.010602 ,512 
quic,75776,1.013904 ,512 
quic,77312,1.018299 ,512 
quic,82368,1.025126 ,576 
quic,112320,1.014580 ,576 
quic,78912,1.012765 ,576 
quic,78336,1.029132 ,576 
quic,83520,1.020676 ,576 
quic,68544,1.017297 ,576 
quic,98496,1.011110 ,576 
quic,108288,1.014058 ,576 
quic,84096,1.013272 ,576 
quic,101376,1.063234 ,576 
quic,80640,1.033836 ,640 
quic,96640,1.013869 ,640 
quic,102400,1.015606 ,640 
quic,123520,1.016294 ,640 
quic,110720,1.015087 ,640 
quic,121600,1.013564 ,640 
quic,125440,1.006570 ,640 
quic,78720,1.011402 ,640 
quic,73600,1.013641 ,640 
quic,125440,1.012341 ,640 
quic,158400,1.018489 ,704 
quic,65472,1.062999 ,704 
quic,29568,1.124092 ,704 
quic,52800,1.124188 ,704 
quic,61952,1.028509 ,704 
quic,121792,1.025215 ,704 
quic,122496,1.007274 ,704 
quic,134464,1.017008 ,704 
quic,116160,1.016299 ,704 
quic,85184,1.013815 ,704 
quic,85248,1.013692 ,768 
quic,87552,1.016315 ,768 
quic,80640,1.021385 ,768 
quic,87552,1.010307 ,768 
quic,115968,1.008134 ,768 
quic,88320,1.010496 ,768 
quic,78336,1.020436 ,768 
quic,96000,1.013801 ,768 
quic,118272,1.021784 ,768 
quic,84480,1.013052 ,768 
quic,53248,1.014565 ,832 
quic,69888,1.004390 ,832 
quic,71552,1.008109 ,832 
quic,90688,1.050986 ,832 
quic,127296,1.007029 ,832 
quic,103168,1.023103 ,832 
quic,128128,1.008343 ,832 
quic,110656,1.011834 ,832 
quic,108160,1.018665 ,832 
quic,80704,1.006449 ,832 
quic,121856,1.019452 ,896 
quic,137088,1.010874 ,896 
quic,114688,1.008138 ,896 
quic,98560,1.009886 ,896 
quic,89600,1.019298 ,896 
quic,101248,1.008209 ,896 
quic,82432,1.011688 ,896 
quic,112000,1.009760 ,896 
quic,103936,1.017051 ,896 
quic,115584,1.021210 ,896 
quic,103680,1.020381 ,960 
